duration_ms,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,n_beats,processing,genre,chord_type,Colore_encoded
2.9966666666666666,53,0.648,0.962,-3.449,0.0329,0.00204,0.149,0.235,0.875,130.007,3.0,390.0,1.1709531013615733,breakbeat,F#-,27
5.117633333333333,25,0.657,0.872,-6.318,0.0379,0.00287,0.0425,0.142,0.937,96.53,3.0,492.0,0.7481162540365985,industrial,B,6
9.334883333333334,12,0.135,0.462,-10.897,0.0367,0.0162,0.916,0.19,0.0505,77.291,3.0,738.0,1.343558282208589,iranian,A,0
3.24555,0,0.566,0.909,-4.184,0.0637,5.81e-05,0.000254,0.0981,0.275,121.979,3.0,393.0,4.067085953878407,industrial,G,30
5.272216666666667,27,0.515,0.873,-3.76,0.038,7.54e-05,0.0,0.538,0.476,119.988,3.0,630.0,1.2793053545586106,spanish,F-,29
5.272216666666667,42,0.572,0.952,-2.318,0.0646,0.0188,5.09e-06,0.387,0.445,163.008,3.0,852.0,0.7573891625615764,j-idol,A#+,2
7.32955,0,0.741,0.991,-9.009,0.0628,0.342,0.186,0.103,0.272,150.027,3.0,1061.0,2.36741214057508,idm,C#+,11
4.5571,2,0.706,0.8,-9.421,0.0516,0.0332,0.037,0.0488,0.725,122.396,3.0,548.0,1.343558282208589,brazil,A-,5
4.983766666666667,46,0.739,0.898,-4.835,0.0691,0.184,0.0586,0.215,0.365,131.986,3.0,650.0,2.7259036144578315,indian,G#,31
4.558133333333333,46,0.218,0.467,-7.747,0.0308,0.0386,0.0,0.171,0.229,136.743,3.0,561.0,1.343558282208589,brazil,A+,4
3.2946666666666666,21,0.188,0.972,-3.561,0.176,1.2e-05,0.00262,0.108,0.166,125.074,0.0,349.0,0.7481162540365985,black-metal,B-,8
6.193766666666667,0,0.358,0.149,-19.512,0.0399,0.777,0.00711,0.11,0.113,131.267,3.0,816.0,3.349056603773585,iranian,C+,13
3.7445333333333335,21,0.405,0.984,-5.425,0.089,2.69e-05,1.9e-05,0.152,0.242,169.995,3.0,620.0,3.70048309178744,black-metal,D+,19
5.28,34,0.393,0.757,-8.223,0.0287,0.157,0.00597,0.131,0.726,156.675,3.0,817.0,1.1709531013615733,bluegrass,F#-,27
